angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.12,,,"[355, 152, 242, 282]",,,0.0,,,0.2,,,0.08,,,0.35,,,0.23,,,0.02,,
0.09,,,"[355, 151, 242, 283]",,,0.0,,,0.18,,,0.07,,,0.37,,,0.28,,,0.02,,
0.1,,,"[356, 151, 242, 284]",,,0.0,,,0.2,,,0.08,,,0.37,,,0.23,,,0.03,,
0.13,,,"[356, 151, 244, 285]",,,0.0,,,0.28,,,0.06,,,0.32,,,0.18,,,0.03,,
0.11,,,"[357, 151, 243, 284]",,,0.0,,,0.27,,,0.06,,,0.32,,,0.2,,,0.03,,
0.09,,,"[357, 150, 242, 285]",,,0.0,,,0.22,,,0.06,,,0.37,,,0.23,,,0.03,,
0.11,,,"[357, 149, 244, 285]",,,0.0,,,0.19,,,0.05,,,0.37,,,0.25,,,0.02,,
0.15,,,"[358, 149, 243, 283]",,,0.0,,,0.19,,,0.03,,,0.36,,,0.24,,,0.03,,
0.31,,,"[368, 162, 228, 264]",,,0.0,,,0.23,,,0.03,,,0.23,,,0.17,,,0.03,,
0.07,,,"[360, 153, 235, 265]",,,0.0,,,0.21,,,0.16,,,0.23,,,0.31,,,0.02,,
0.09,,,"[358, 154, 243, 279]",,,0.0,,,0.37,,,0.04,,,0.17,,,0.32,,,0.01,,
0.19,,,"[370, 158, 228, 262]",,,0.0,,,0.31,,,0.03,,,0.16,,,0.31,,,0.0,,
0.14,,,"[366, 149, 243, 290]",,,0.0,,,0.16,,,0.04,,,0.33,,,0.33,,,0.0,,
0.17,,,"[375, 150, 239, 284]",,,0.0,,,0.18,,,0.03,,,0.33,,,0.28,,,0.01,,
0.32,,,"[376, 149, 245, 286]",,,0.0,,,0.12,,,0.0,,,0.39,,,0.17,,,0.0,,
0.09,,,"[383, 148, 237, 277]",,,0.0,,,0.18,,,0.0,,,0.57,,,0.15,,,0.01,,
0.08,,,"[385, 146, 238, 279]",,,0.0,,,0.07,,,0.0,,,0.74,,,0.1,,,0.01,,
0.12,,,"[394, 153, 230, 273]",,,0.0,,,0.04,,,0.0,,,0.75,,,0.08,,,0.0,,
0.21,,,"[397, 152, 232, 277]",,,0.0,,,0.06,,,0.0,,,0.62,,,0.1,,,0.0,,
0.2,,,"[399, 155, 230, 277]",,,0.0,,,0.11,,,0.01,,,0.54,,,0.15,,,0.0,,
0.17,,,"[399, 154, 231, 281]",,,0.0,,,0.09,,,0.01,,,0.55,,,0.18,,,0.0,,
0.13,,,"[397, 151, 232, 282]",,,0.0,,,0.06,,,0.01,,,0.7,,,0.09,,,0.0,,
0.26,,,"[398, 150, 234, 281]",,,0.0,,,0.08,,,0.0,,,0.52,,,0.13,,,0.0,,
0.22,,,"[396, 151, 233, 280]",,,0.0,,,0.06,,,0.0,,,0.59,,,0.13,,,0.0,,
0.19,,,"[394, 151, 230, 275]",,,0.0,,,0.06,,,0.0,,,0.65,,,0.09,,,0.0,,
0.23,,,"[391, 151, 229, 274]",,,0.0,,,0.05,,,0.01,,,0.58,,,0.13,,,0.0,,
0.15,,,"[387, 145, 240, 288]",,,0.0,,,0.06,,,0.01,,,0.67,,,0.11,,,0.0,,
0.14,,,"[381, 148, 243, 288]",,,0.0,,,0.05,,,0.0,,,0.67,,,0.13,,,0.0,,
0.13,,,"[381, 147, 244, 288]",,,0.0,,,0.05,,,0.0,,,0.69,,,0.11,,,0.0,,
0.19,,,"[378, 146, 243, 289]",,,0.0,,,0.06,,,0.01,,,0.62,,,0.12,,,0.01,,
0.18,,,"[378, 146, 243, 289]",,,0.0,,,0.06,,,0.0,,,0.63,,,0.13,,,0.0,,
0.08,,,"[378, 146, 243, 290]",,,0.0,,,0.05,,,0.0,,,0.75,,,0.11,,,0.01,,
0.1,,,"[379, 146, 244, 288]",,,0.0,,,0.06,,,0.0,,,0.69,,,0.14,,,0.0,,
0.12,,,"[379, 146, 245, 287]",,,0.0,,,0.07,,,0.0,,,0.66,,,0.14,,,0.0,,
0.22,,,"[378, 143, 246, 292]",,,0.0,,,0.08,,,0.0,,,0.54,,,0.14,,,0.01,,
0.14,,,"[381, 142, 245, 295]",,,0.0,,,0.14,,,0.0,,,0.49,,,0.21,,,0.02,,
0.18,,,"[386, 141, 244, 297]",,,0.0,,,0.22,,,0.0,,,0.38,,,0.19,,,0.03,,
0.19,,,"[392, 139, 245, 296]",,,0.0,,,0.22,,,0.01,,,0.35,,,0.2,,,0.03,,
0.17,,,"[401, 147, 227, 284]",,,0.0,,,0.14,,,0.01,,,0.46,,,0.2,,,0.02,,
0.11,,,"[400, 136, 242, 291]",,,0.0,,,0.07,,,0.0,,,0.7,,,0.11,,,0.01,,
0.12,,,"[406, 138, 241, 286]",,,0.0,,,0.05,,,0.0,,,0.71,,,0.11,,,0.0,,
0.11,,,"[411, 136, 239, 285]",,,0.0,,,0.07,,,0.0,,,0.7,,,0.11,,,0.01,,
0.09,,,"[421, 143, 228, 279]",,,0.0,,,0.05,,,0.0,,,0.76,,,0.09,,,0.0,,
0.09,,,"[424, 135, 235, 279]",,,0.0,,,0.08,,,0.0,,,0.68,,,0.15,,,0.0,,
